text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
penisfvcker,penis,sexual anatomy / sexual acts,3.0,Severe,penisfvcker
ladboyz,ladyboy,sexual orientation / gender,1.4,Mild,ladboyz
doggy_style,doggy style,sexual anatomy / sexual acts,1.4,Mild,doggy_style
butt-fuckers,fuck,sexual anatomy / sexual acts,2.8,Severe,butt-fuckers
homos,homosexual,sexual orientation / gender,2.2,Strong,homos
bugger off,bugger,sexual anatomy / sexual acts,1.0,Mild,bugger
sum of a bitch,bitch,other / general insult,1.4,Mild,sumbitch
@ssfcker,fuck,sexual anatomy / sexual acts,2.8,Severe,@ssfcker
skanky,skank,sexual orientation / gender,1.4,Mild,skanky
caaak,cock,sexual anatomy / sexual acts,1.4,Mild,caaak
assfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,assfucker
phuking,fuck,sexual anatomy / sexual acts,2.2,Strong,phuking
snatch licker,snatch,sexual anatomy / sexual acts,2.8,Severe,snatchlicker
bitchfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,bitchfuck
knob eater,knob,sexual anatomy / sexual acts,2.2,Strong,knobeater
fugger,fuck,sexual anatomy / sexual acts,2.0,Strong,fugger
pussless,pussy,sexual anatomy / sexual acts,2.0,Strong,pussless
fugged,fuck,sexual anatomy / sexual acts,1.8,Strong,fugged
g@yshit,shit,sexual orientation / gender,2.6,Severe,g@yshit
pussywhipped,pussy,sexual anatomy / sexual acts,1.8,Strong,pussywhipped
shitte,shit,bodily fluids / excrement,1.0,Mild,shitte
m0foes,motherfucker,other / general insult,2.2,Strong,m0foes
cock suck,cock,sexual anatomy / sexual acts,1.8,Strong,cocksuck
lesbo,lesbian,sexual orientation / gender,2.2,Strong,lesbo
nigg@zzes,nigger,racial / ethnic slurs,2.8,Severe,nigg@zzes
faggs,faggot,sexual orientation / gender,3.0,Severe,faggs
bitchasses,bitch,sexual anatomy / sexual acts,1.8,Strong,bitchasses
gobshite,shit,bodily fluids / excrement,1.8,Strong,gobshite
Fckk,fuck,sexual anatomy / sexual acts,2.2,Strong,Fckk
sh1tdick,shit,sexual anatomy / sexual acts,2.4,Strong,sh1tdick
buttfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfuckers
feck arse,arse,sexual anatomy / sexual acts,2.2,Strong,feckarse
biotches,bitch,sexual orientation / gender,1.2,Mild,biotches
goddamnit,damn,religious offense,1.6,Strong,goddamnit
jiggaboo,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggaboo
c00n,coon,racial / ethnic slurs,2.8,Severe,c00n
n1ggas,nigger,racial / ethnic slurs,3.0,Severe,n1ggas
bitchy ass,bitch,sexual anatomy / sexual acts,1.8,Strong,bitchyass
nobhead,knob,sexual anatomy / sexual acts,1.6,Strong,nobhead
sh1s,shit,bodily fluids / excrement,1.0,Mild,sh1s
cooni3s,coon,racial / ethnic slurs,2.4,Strong,cooni3s
assfck,ass,sexual anatomy / sexual acts,2.6,Severe,assfck
asshole fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,assholefucker
w@nkers,wank,sexual anatomy / sexual acts,1.0,Mild,w@nkers
weenie,weenie,sexual anatomy / sexual acts,1.0,Mild,weenie
fcuk,fuck,sexual anatomy / sexual acts,2.0,Strong,fcuk
c0cks,cock,sexual anatomy / sexual acts,1.6,Strong,c0cks
dipstick,dipstick,sexual anatomy / sexual acts,1.2,Mild,dipstick
cocksucc,cock,sexual anatomy / sexual acts,2.0,Strong,cocksucc
retardo,retard,physical disability,2.6,Severe,retardo
cock-suckers,cock,sexual anatomy / sexual acts,2.0,Strong,cock-suckers
knob jockey,knob,sexual anatomy / sexual acts,1.8,Strong,knobjockey
peckerhead,pecker,sexual anatomy / sexual acts,1.6,Strong,peckerhead
dick sucker,dick,sexual anatomy / sexual acts,2.2,Strong,dicksucker
tacohead,tacohead,racial / ethnic slurs,2.4,Strong,tacohead
get fucked,fuck,sexual anatomy / sexual acts,2.4,Strong,getfucked
beyotch,bitch,other / general insult,1.2,Mild,beyotch
cagone,cojones,bodily fluids / excrement,1.2,Mild,cagone
mothafcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafcking
cockmonger,cock,sexual anatomy / sexual acts,2.2,Strong,cockmonger
coolie,coolie,racial / ethnic slurs,1.8,Strong,coolie
wank,wank,sexual anatomy / sexual acts,1.0,Mild,wank
dickslapper,dick,sexual anatomy / sexual acts,1.8,Strong,dickslapper
buttfucker,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfucker
mothafuckazzes,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckazzes
fuck you,fuck,sexual anatomy / sexual acts,2.4,Strong,fuck
nobheads,knob,sexual anatomy / sexual acts,1.4,Mild,nobheads
kiss my ass,ass,sexual anatomy / sexual acts,1.6,Strong,kissass
soab,bitch,other / general insult,1.6,Strong,soab
shit licker,shit,bodily fluids / excrement,2.0,Strong,shitlicker
ar5ehole,arse,sexual anatomy / sexual acts,1.4,Mild,ar5ehole
beeotch,bitch,sexual orientation / gender,1.0,Mild,beeotch
rat bastard,bastard,other / general insult,1.6,Strong,ratbastard
heeb,hebe,racial / ethnic slurs,2.2,Strong,heeb
basturd,bastard,bodily fluids / excrement,1.2,Mild,basturd
n1ckker,nigger,racial / ethnic slurs,2.8,Severe,n1ckker
pig fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,pigfucker
bullshi,shit,bodily fluids / excrement,1.0,Mild,bullshi
niggas,nigger,racial / ethnic slurs,2.8,Severe,niggas
packing fudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudge
wanked,wank,sexual anatomy / sexual acts,1.2,Mild,wanked
flamers,flamer,sexual orientation / gender,2.8,Severe,flamers
mothafuckins,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckins
dick licker,dick,sexual anatomy / sexual acts,2.4,Strong,dicklicker
gaylord,gay,sexual orientation / gender,1.6,Strong,gaylord
ar5e,arse,sexual anatomy / sexual acts,1.0,Mild,ar5e
bwc,cock,sexual anatomy / sexual acts,1.4,Mild,bwc
shit for brains,shit,bodily fluids / excrement,1.6,Strong,shitbrains
l3itch,bitch,sexual orientation / gender,1.4,Mild,l3itch
assfkcer,ass,sexual anatomy / sexual acts,2.6,Severe,assfkcer
dicks,dick,sexual anatomy / sexual acts,1.0,Mild,dicks
cobb knobbler,knob,sexual anatomy / sexual acts,1.8,Strong,cobbknobbler
fvcking,fuck,sexual anatomy / sexual acts,2.0,Strong,fvcking
niggerz,nigger,racial / ethnic slurs,3.0,Severe,niggerz
fuq,fuck,sexual anatomy / sexual acts,1.8,Strong,fuq
b1tch,bitch,sexual orientation / gender,1.4,Mild,b1tch
ch1nk,chink,racial / ethnic slurs,3.0,Severe,ch1nk
dogshit,shit,bodily fluids / excrement,1.0,Mild,dogshit
fccuker,fuck,sexual anatomy / sexual acts,2.0,Strong,fccuker
penishead,penis,sexual anatomy / sexual acts,1.4,Mild,penishead
retard,retard,mental disability,2.8,Severe,retard
timber nigger,nigger,racial / ethnic slurs,3.0,Severe,timbernigger
phuked,fuck,sexual anatomy / sexual acts,2.2,Strong,phuked
trashbitches,bitch,sexual orientation / gender,1.4,Mild,trashbitches
godamnit,damn,religious offense,2.0,Strong,godamnit
mothafuckaz,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckaz
dipshits,shit,bodily fluids / excrement,1.6,Strong,dipshits
shitting,shit,bodily fluids / excrement,1.4,Mild,shitting
wank3r,wank,sexual anatomy / sexual acts,1.0,Mild,wank3r
god damnit,damn,religious offense,2.2,Strong,goddamnit
shitface,shit,bodily fluids / excrement,2.0,Strong,shitface
shlong,shlong,sexual anatomy / sexual acts,1.0,Mild,shlong
raghead,raghead,racial / ethnic slurs,3.0,Severe,raghead
shit-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shit-fucker
mega fag,faggot,sexual orientation / gender,2.8,Severe,megafag
knobends,knob,sexual anatomy / sexual acts,1.4,Mild,knobends
throat yogurt,throat yogurt,bodily fluids / excrement,1.8,Strong,throatyogurt
ass licking,ass,sexual anatomy / sexual acts,1.6,Strong,asslicking
whor3,whore,sexual orientation / gender,1.8,Strong,whor3
dickz,dick,sexual anatomy / sexual acts,1.2,Mild,dickz
shit-stuffers,shit,sexual anatomy / sexual acts,1.8,Strong,shit-stuffers
god-damned,damn,religious offense,1.4,Mild,god-damned
ape shite,ape,bodily fluids / excrement,1.6,Strong,apeshite
crotch,crotch,sexual anatomy / sexual acts,1.0,Mild,crotch
phukker,fuck,sexual anatomy / sexual acts,2.2,Strong,phukker
beat your meat,meat,sexual anatomy / sexual acts,1.4,Mild,beatmeat
faggot mofoes,faggot,sexual anatomy / sexual acts,3.0,Severe,faggotmofoes
suck my cock,cock,sexual anatomy / sexual acts,2.2,Strong,suckcock
nikker,nigger,racial / ethnic slurs,2.8,Severe,nikker
pussie,pussy,sexual anatomy / sexual acts,2.0,Strong,pussie
f@gg0t,faggot,sexual orientation / gender,3.0,Severe,f@gg0t
cooter,coot,sexual anatomy / sexual acts,1.2,Mild,cooter
motherfvck,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfvck
horse shit,shit,bodily fluids / excrement,1.2,Mild,horseshit
shitty mofoes,shit,bodily fluids / excrement,1.6,Strong,shittymofoes
pussy fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,pussyfucker
niguh,nigger,racial / ethnic slurs,2.8,Severe,niguh
nobjockies,knob,sexual anatomy / sexual acts,1.8,Strong,nobjockies
BJ,blowjob,sexual anatomy / sexual acts,1.6,Strong,BJ
gayest,gay,sexual orientation / gender,1.0,Mild,gayest
sand nigger,nigger,racial / ethnic slurs,3.0,Severe,sandnigger
knobjockies,knob,sexual anatomy / sexual acts,1.8,Strong,knobjockies
fukcs,fuck,sexual anatomy / sexual acts,2.0,Strong,fukcs
azz,ass,sexual anatomy / sexual acts,1.0,Mild,azz
assfuccer,ass,sexual anatomy / sexual acts,2.2,Strong,assfuccer
jizzed,jizz,bodily fluids / excrement,2.0,Strong,jizzed
bastards,bastard,other / general insult,1.6,Strong,bastards
fingerbanged,finger,sexual anatomy / sexual acts,1.6,Strong,fingerbanged
nicker,nigger,racial / ethnic slurs,3.0,Severe,nicker
jailba!t,jailbait,physical attributes,1.6,Strong,jailba!t
b1+ch,bitch,sexual orientation / gender,1.0,Mild,b1+ch
@ssfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,@ssfucker
motherfukker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfukker
r3tard,retard,mental disability,2.6,Severe,r3tard
Tranny,tranny,sexual orientation / gender,2.8,Severe,Tranny
bi + ch,bitch,sexual orientation / gender,1.2,Mild,bi+ch
bastardish,bastard,other / general insult,1.0,Mild,bastardish
shitdick,shit,sexual anatomy / sexual acts,2.4,Strong,shitdick
snatch,snatch,sexual anatomy / sexual acts,1.0,Mild,snatch
phukhead,fuck,sexual anatomy / sexual acts,2.4,Strong,phukhead
shithole,shit,sexual anatomy / sexual acts,1.8,Strong,shithole
cawk,cock,sexual anatomy / sexual acts,1.4,Mild,cawk
dumb fucker,fuck,sexual anatomy / sexual acts,2.0,Strong,dumbfucker
ass-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe,ass-fuckers
nickker,nigger,racial / ethnic slurs,3.0,Severe,nickker
bender,bender,sexual orientation / gender,1.6,Strong,bender
b1tch1ng,bitch,sexual orientation / gender,1.2,Mild,b1tch1ng
mof0s,motherfucker,other / general insult,2.6,Severe,mof0s
assmunch,ass,sexual anatomy / sexual acts,1.8,Strong,assmunch
jizzbags,jizz,bodily fluids / excrement,2.4,Strong,jizzbags
shitfk,shit,sexual anatomy / sexual acts,1.8,Strong,shitfk
0ral seks,sex,sexual anatomy / sexual acts,1.0,Mild,0ralseks
sheet,shit,bodily fluids / excrement,1.0,Mild,sheet
piss off fuckhead,fuck,sexual anatomy / sexual acts,3.0,Severe,pissfuckhead
clitlickers,clit,sexual anatomy / sexual acts,2.0,Strong,clitlickers
china-virus,china virus,political,2.2,Strong,china-virus
phucup,fuck,sexual anatomy / sexual acts,1.8,Strong,phucup
cocksuck,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuck
jigger,jiggaboo,racial / ethnic slurs,3.0,Severe,jigger
horseshit,shit,bodily fluids / excrement,1.2,Mild,horseshit
nobs,knob,sexual anatomy / sexual acts,1.2,Mild,nobs
queers,queer,sexual orientation / gender,1.8,Strong,queers
cock droplets,cock,bodily fluids / excrement,2.4,Strong,cockdroplets
cock sucker,cock,sexual anatomy / sexual acts,2.4,Strong,cocksucker
choke the chicken,choke the chicken,sexual anatomy / sexual acts,1.4,Mild,chokechicken
fucked,fuck,sexual anatomy / sexual acts,1.8,Strong,fucked
willy-whacker,willy-whacker,sexual anatomy / sexual acts,1.8,Strong,willy-whacker
phucchead,fuck,sexual anatomy / sexual acts,2.0,Strong,phucchead
shut the fuck up,fuck,other / general insult,2.2,Strong,shutfuck
suck my d,dick,sexual anatomy / sexual acts,1.8,Strong,suck
mothercker,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mothercker
bitching,bitch,sexual orientation / gender,1.0,Mild,bitching
slag,slag,sexual orientation / gender,1.6,Strong,slag
f0cker,fuck,sexual anatomy / sexual acts,2.4,Strong,f0cker
paki,paki,racial / ethnic slurs,2.6,Severe,paki
b1otch,bitch,sexual orientation / gender,1.4,Mild,b1otch
fuck your mother,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckmother
phuks,fuck,sexual anatomy / sexual acts,2.2,Strong,phuks
phukeds,fuck,sexual anatomy / sexual acts,2.0,Strong,phukeds
fuckbag,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckbag
vag,vagina,sexual anatomy / sexual acts,1.2,Mild,vag
queerasses,queer,sexual orientation / gender,3.0,Severe,queerasses
jizz eater,jizz,sexual anatomy / sexual acts,2.4,Strong,jizzeater
nigg4h,nigger,racial / ethnic slurs,3.0,Severe,nigg4h
shitefuck,fuck,sexual anatomy / sexual acts,1.6,Strong,shitefuck
3jakulating,ejaculation,sexual anatomy / sexual acts,1.6,Strong,3jakulating
wetbacks,wetback,racial / ethnic slurs,2.6,Severe,wetbacks
pillow-biter,pillow biter,sexual orientation / gender,1.6,Strong,pillow-biter
shitterfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitterfucker
anus plug,anus,sexual anatomy / sexual acts,2.0,Strong,anusplug
motha fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckers
wankies,wank,sexual anatomy / sexual acts,1.6,Strong,wankies
fuk1n,fuck,sexual anatomy / sexual acts,2.0,Strong,fuk1n
motherfcks,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfcks
higger,nigger,racial / ethnic slurs,2.6,Severe,higger
knobed,knob,sexual anatomy / sexual acts,1.4,Mild,knobed
fuk1ng,fuck,sexual anatomy / sexual acts,2.2,Strong,fuk1ng
fcvking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcvking
sack,ballsack,sexual anatomy / sexual acts,1.0,Mild,sack
shmale,shemale,sexual orientation / gender,1.4,Mild,shmale
fags,faggot,sexual orientation / gender,3.0,Severe,fags
pedoz,pedophile,sexual anatomy / sexual acts,2.0,Strong,pedoz
phukked,fuck,sexual anatomy / sexual acts,2.0,Strong,phukked
ladiboy,ladyboy,sexual orientation / gender,2.2,Strong,ladiboy
shittings,shit,bodily fluids / excrement,1.2,Mild,shittings
go fuck yourself,fuck,sexual anatomy / sexual acts,2.6,Severe,gofuck
butt-fucking-bandit,fuck,sexual anatomy / sexual acts,2.6,Severe,butt-fucking-bandit
m0thafucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0thafucked
tard,retard,mental disability,2.8,Severe,tard
gay shit,gay,bodily fluids / excrement,1.8,Strong,gayshit
knobendz,knob,sexual anatomy / sexual acts,1.4,Mild,knobendz
whack off,whack off,sexual anatomy / sexual acts,1.2,Mild,whack
fcuks,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuks
motherfvckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfvckers
arse hole,arse,sexual anatomy / sexual acts,1.2,Mild,arsehole
biatch,bitch,sexual orientation / gender,1.2,Mild,biatch
dago,dago,racial / ethnic slurs,2.2,Strong,dago
motherfvckeds,motherfucker,sexual anatomy / sexual acts,2.2,Strong,motherfvckeds
pussys,pussy,sexual anatomy / sexual acts,2.0,Strong,pussys
cuntz,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntz
knob,knob,sexual anatomy / sexual acts,1.4,Mild,knob
butt hole,butt,sexual anatomy / sexual acts,1.0,Mild,butthole
cock knocker,cock,sexual anatomy / sexual acts,1.8,Strong,cockknocker
ladyboyz,ladyboy,sexual orientation / gender,1.4,Mild,ladyboyz
assface,ass,sexual anatomy / sexual acts,1.6,Strong,assface
c*nty,cunt,sexual anatomy / sexual acts,2.8,Severe,c*nty
phagot,faggot,sexual orientation / gender,3.0,Severe,phagot
dafuq,fuck,sexual anatomy / sexual acts,2.2,Strong,dafuq
scumfuck,fuck,sexual anatomy / sexual acts,2.8,Severe,scumfuck
cock jockey,cock,sexual anatomy / sexual acts,2.4,Strong,cockjockey
beat the meat,meat,sexual anatomy / sexual acts,1.4,Mild,beatmeat
cuntelope,cunt,sexual anatomy / sexual acts,2.4,Strong,cuntelope
mushroom tip,mushroom tip,sexual anatomy / sexual acts,1.4,Mild,mushroomtip
wanks,wank,sexual anatomy / sexual acts,1.0,Mild,wanks
sh1t,shit,bodily fluids / excrement,1.2,Mild,sh1t
butt fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfucker
caca,shit,bodily fluids / excrement,1.0,Mild,caca
peter puffer,peter puffer,sexual orientation / gender,1.8,Strong,peterpuffer
knobheads,knob,sexual anatomy / sexual acts,1.6,Strong,knobheads
fag queen,faggot,sexual orientation / gender,2.8,Severe,fagqueen
trashb1tch,bitch,sexual orientation / gender,1.8,Strong,trashb1tch
mfing,motherfucker,sexual anatomy / sexual acts,1.8,Strong,mfing
bi+ch,bitch,sexual orientation / gender,1.4,Mild,bi+ch
mf'er,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mf'er
nymphomaniac,nymph,other / general insult,1.4,Mild,nymphomaniac
ape shit,ape,bodily fluids / excrement,1.6,Strong,apeshit
mothafuckin,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckin
faggy,faggot,sexual orientation / gender,3.0,Severe,faggy
bewbs,boobs,sexual anatomy / sexual acts,1.0,Mild,bewbs
shemal3,shemale,sexual orientation / gender,1.8,Strong,shemal3
f0ck,fuck,sexual anatomy / sexual acts,2.0,Strong,f0ck
dog fucking,fuck,sexual anatomy / sexual acts,2.8,Severe,dogfucking
cooter shooting,coot,sexual anatomy / sexual acts,2.6,Severe,cootershooting
darkshit,shit,bodily fluids / excrement,3.0,Severe,darkshit
nigg4hs,nigger,racial / ethnic slurs,2.8,Severe,nigg4hs
swine,swine,animal references,1.0,Mild,swine
dipshitter,shit,bodily fluids / excrement,1.6,Strong,dipshitter
niggress,nigger,racial / ethnic slurs,3.0,Severe,niggress
phucked,fuck,sexual anatomy / sexual acts,2.0,Strong,phucked
motha fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucka
fellator,fellatio,sexual anatomy / sexual acts,1.6,Strong,fellator
scummy,scum,other / general insult,1.2,Mild,scummy
muthafukka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafukka
fuckshithead,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckshithead
dumbarrassed,ass,mental disability,1.4,Mild,dumbarrassed
twatt,twat,sexual anatomy / sexual acts,1.6,Strong,twatt
fag0t,faggot,sexual orientation / gender,3.0,Severe,fag0t
god damned,damn,religious offense,1.2,Mild,goddamned
shitdikk,shit,bodily fluids / excrement,2.0,Strong,shitdikk
f'er,fuck,sexual anatomy / sexual acts,1.6,Strong,f'er
bitchtits,bitch,sexual anatomy / sexual acts,2.2,Strong,bitchtits
assfk,ass,sexual anatomy / sexual acts,2.2,Strong,assfk
puta,punta,sexual orientation / gender,1.8,Strong,puta
dumbshit,shit,bodily fluids / excrement,1.6,Strong,dumbshit
gash-stabber,gash-stabber,sexual anatomy / sexual acts,2.0,Strong,gash-stabber
fatass,ass,sexual anatomy / sexual acts,1.2,Mild,fatass
blow a load,blow a load,bodily fluids / excrement,1.6,Strong,blowload
dune coon,coon,racial / ethnic slurs,3.0,Severe,dunecoon
tickle the pickle,tickle the pickle,sexual anatomy / sexual acts,1.2,Mild,ticklepickle
bitchin',bitch,other / general insult,1.0,Mild,bitchin'
peener,penis,sexual anatomy / sexual acts,1.0,Mild,peener
pussies,pussy,sexual anatomy / sexual acts,1.0,Mild,pussies
fucking A,fuck,sexual anatomy / sexual acts,2.4,Strong,fucking
packing fudgehead,fudge packer,bodily fluids / excrement,1.8,Strong,packingfudgehead
bollox,bollocks,sexual anatomy / sexual acts,1.0,Mild,bollox
beaner,beaner,racial / ethnic slurs,2.6,Severe,beaner
reacharound,reacharound,sexual anatomy / sexual acts,1.2,Mild,reacharound
mofos,motherfucker,sexual anatomy / sexual acts,2.0,Strong,mofos
dick fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,dickfucker
shiesterfuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong,shiesterfuckhead
shitblimps,shit,bodily fluids / excrement,1.6,Strong,shitblimps
crow,crow,animal references,1.0,Mild,crow
d1cksucker,dick,sexual anatomy / sexual acts,1.8,Strong,d1cksucker
gay bitch,gay,sexual orientation / gender,2.6,Severe,gaybitch
arse-shagger,arse,sexual anatomy / sexual acts,2.4,Strong,arse-shagger
jackarse,arse,sexual anatomy / sexual acts,1.0,Mild,jackarse
nobjokeys,knob,sexual orientation / gender,1.8,Strong,nobjokeys
prick-head,prick,sexual anatomy / sexual acts,1.8,Strong,prick-head
skankz,skank,sexual orientation / gender,1.6,Strong,skankz
mothafcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafcked
jap,jap,racial / ethnic slurs,2.8,Severe,jap
b1tchy,bitch,sexual orientation / gender,1.2,Mild,b1tchy
shitties,shit,bodily fluids / excrement,1.0,Mild,shitties
anal pirate,anal,sexual anatomy / sexual acts,2.2,Strong,analpirate
gay fuck,fuck,sexual orientation / gender,2.6,Severe,gayfuck
muthafuckings,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckings
fukka,fuck,sexual anatomy / sexual acts,2.2,Strong,fukka
knober,knob,sexual anatomy / sexual acts,1.0,Mild,knober
motherf@kka,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherf@kka
batshite,shit,bodily fluids / excrement,1.2,Mild,batshite
fuggings,fuck,sexual anatomy / sexual acts,2.0,Strong,fuggings
fingerpop,finger,sexual anatomy / sexual acts,1.4,Mild,fingerpop
c0xux0r,cock,sexual anatomy / sexual acts,1.8,Strong,c0xux0r
fuckstar,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckstar
pack my fudge,fudge packer,sexual anatomy / sexual acts,2.0,Strong,packfudge
dumb bastard,bastard,other / general insult,1.2,Mild,dumbbastard
Jack off,jackoff,sexual anatomy / sexual acts,1.4,Mild,Jack
n1gg@hs,niggger,racial / ethnic slurs,2.8,Severe,n1gg@hs
motherfucca,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfucca
fukkuh,fuck,sexual anatomy / sexual acts,2.2,Strong,fukkuh
phucker,fuck,sexual anatomy / sexual acts,2.2,Strong,phucker
jackasss,ass,animal references,1.2,Mild,jackasss
bitchass,bitch,sexual orientation / gender,1.6,Strong,bitchass
jigro,jiggaboo,racial / ethnic slurs,2.8,Severe,jigro
cawks,cock,sexual anatomy / sexual acts,1.2,Mild,cawks
darkie,darky,racial / ethnic slurs,2.8,Severe,darkie
bitchhole,bitch,sexual anatomy / sexual acts,2.4,Strong,bitchhole
muffindiving,muff,sexual anatomy / sexual acts,1.8,Strong,muffindiving
wang,wang,sexual anatomy / sexual acts,1.4,Mild,wang
klitoris,clit,sexual anatomy / sexual acts,1.0,Mild,klitoris
twattish,twat,sexual anatomy / sexual acts,1.6,Strong,twattish
cuntbag,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntbag
dogshits,shit,bodily fluids / excrement,1.4,Mild,dogshits
5h1t,shit,bodily fluids / excrement,1.0,Mild,5h1t
m0ng0l0id,mongoloid,mental disability,2.2,Strong,m0ng0l0id
lady-boy,ladyboy,sexual orientation / gender,2.6,Severe,lady-boy
motherfecker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfecker
knobjokeys,knob,sexual anatomy / sexual acts,1.8,Strong,knobjokeys
muffdiving,muff,sexual anatomy / sexual acts,2.0,Strong,muffdiving
jackass,ass,animal references,1.0,Mild,jackass
motherfuccers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuccers
c*ntface,cunt,sexual anatomy / sexual acts,3.0,Severe,c*ntface
c*nts,cunt,sexual orientation / gender,2.8,Severe,c*nts
ass-fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,ass-fucker
fuccing,fuck,sexual anatomy / sexual acts,2.6,Severe,fuccing
cockh3ad,cock,sexual anatomy / sexual acts,2.4,Strong,cockh3ad
puss,pussy,sexual anatomy / sexual acts,1.4,Mild,puss
slit,slit,sexual orientation / gender,1.6,Strong,slit
nigger,nigger,racial / ethnic slurs,3.0,Severe,nigger
dick-face,dick,sexual anatomy / sexual acts,1.8,Strong,dick-face
@ssfvcker,fuck,sexual anatomy / sexual acts,2.4,Strong,@ssfvcker
dicksucker,dick,sexual anatomy / sexual acts,2.2,Strong,dicksucker
b1otchs,bitch,sexual orientation / gender,1.2,Mild,b1otchs
asshole,ass,sexual anatomy / sexual acts,1.2,Mild,asshole
gyp,gypsy,racial / ethnic slurs,2.0,Strong,gyp
ladyboys,ladyboy,sexual orientation / gender,2.4,Strong,ladyboys
arse-hole,arse,sexual anatomy / sexual acts,1.8,Strong,arse-hole
dickmuncher,dick,sexual anatomy / sexual acts,2.0,Strong,dickmuncher
m0fos,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m0fos
darkass,ass,racial / ethnic slurs,2.6,Severe,darkass
shit fuck,fuck,other / general insult,2.4,Strong,shitfuck
porch monkey,porch monkey,racial / ethnic slurs,3.0,Severe,porchmonkey
dumbasses,ass,sexual anatomy / sexual acts,1.0,Mild,dumbasses
phucks,fuck,sexual anatomy / sexual acts,2.0,Strong,phucks
rectum,rectum,sexual anatomy / sexual acts,1.0,Mild,rectum
dipshidiot,shit,bodily fluids / excrement,1.6,Strong,dipshidiot
wanker,wank,sexual anatomy / sexual acts,1.0,Mild,wanker
assfukka,fuck,sexual anatomy / sexual acts,2.8,Severe,assfukka
r3t@rd,retard,mental disability,2.8,Severe,r3t@rd
biches,bitch,sexual orientation / gender,1.4,Mild,biches
muffdivings,muff,sexual anatomy / sexual acts,2.2,Strong,muffdivings
4skin,foreskin,sexual anatomy / sexual acts,1.0,Mild,4skin
dickskin,dick,sexual anatomy / sexual acts,1.8,Strong,dickskin
shitfacefuck,fuck,sexual anatomy / sexual acts,2.8,Severe,shitfacefuck
hoebag,hoe,sexual orientation / gender,2.0,Strong,hoebag
l@dyb0i,ladyboy,sexual orientation / gender,2.2,Strong,l@dyb0i
slanteye,slant eye,racial / ethnic slurs,3.0,Severe,slanteye
fuckaz,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckaz
dick head,dick,sexual anatomy / sexual acts,1.8,Strong,dickhead
shitfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shitfuck
shit-ass,shit,bodily fluids / excrement,2.0,Strong,shit-ass
fooker,fuck,sexual anatomy / sexual acts,1.8,Strong,fooker
